time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_gusts_10m,wind_direction_10m,weather_code,cloud_cover,pressure_msl,shortwave_radiation,visibility,departement,facade,latitude,longitude,dep_nom,dep_code,reg_nom,equip_numero,equip_nom,equip_type,inst_nom,inst_adresse,aps_name
2026-04-20 00:00:00,10.9955,64.0,6.5822077,0.0,22.530937,38.519997,77.074,3.0,100.0,1021.2,0.0,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 02:00:00,10.945499,55.0,5.309244,0.0,24.535524,42.48,75.55593,3.0,100.0,1020.7,0.0,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 04:00:00,9.9955,60.0,5.128586,0.0,20.176065,38.519997,74.47583,3.0,100.0,1020.5,0.0,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 06:00:00,9.9955,66.0,5.6023235,0.0,18.289274,32.399998,79.79609,3.0,100.0,1019.6,0.0,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 08:00:00,9.695499,77.0,5.5673885,0.0,19.211996,35.28,77.00539,3.0,100.0,1019.6,7.7160497,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 10:00:00,12.2455,62.0,8.240271,0.0,16.923828,32.039997,88.78116,3.0,94.0,1018.5,218.5571,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 12:00:00,14.3955,61.0,11.227609,0.0,15.893093,33.12,103.0919,3.0,100.0,1018.0,537.03705,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 14:00:00,15.9955,49.0,12.020924,0.0,19.06301,32.760002,100.88548,3.0,100.0,1017.8,588.1558,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 16:00:00,17.0455,41.0,13.4143715,0.0,16.23596,30.599998,93.814,3.0,100.0,1017.3,694.05865,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 18:00:00,17.0455,46.5,12.289219,0.0,18.769701,32.219997,79.17244,3.0,100.0,1016.6,498.36035,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 20:00:00,14.8955,51.0,10.029112,0.0,24.798225,40.32,62.31903,2.0,79.0,1016.1,209.10493,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-20 22:00:00,12.4955,59.0,7.4293003,0.0,25.959969,42.48,70.559875,1.0,21.0,1017.1,1.5432099,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
2026-04-21 00:00:00,11.1455,67.0,6.5411396,0.0,23.584808,39.96,77.660934,0.0,3.0,1017.2,0.0,,Finistère,Inconnue,48.36176,-4.77654,Finistère,29,Bretagne,E001I290400005,Port du Conquet,Zone de mouillage,Port du Conquet,Port du conquet,"Dériveur / Multicoques / Courses océaniques / au large / Voile modèle / traditionnelle /match racing,Motonautisme / Jet hydrojet / Aéroglisseur"
